participant_id	session_id	acq_time	band_placement	band_tension	sensor_count	sampling_frequency_hz
sub-P01	ses-S01	2026-06-30T07:54:30.056330+00:00	forearm_2_3	medium	4	100.0
sub-P02	ses-S02	2026-06-30T10:15:14.522416+00:00	forearm_2_3	medium	4	100.0
