cam_ts_ns,mp_valid,mp_confidence,mp_handedness,mp_lm00_x,mp_lm00_y,mp_lm00_z,mp_lm01_x,mp_lm01_y,mp_lm01_z,mp_lm02_x,mp_lm02_y,mp_lm02_z,mp_lm03_x,mp_lm03_y,mp_lm03_z,mp_lm04_x,mp_lm04_y,mp_lm04_z,mp_lm05_x,mp_lm05_y,mp_lm05_z,mp_lm06_x,mp_lm06_y,mp_lm06_z,mp_lm07_x,mp_lm07_y,mp_lm07_z,mp_lm08_x,mp_lm08_y,mp_lm08_z,mp_lm09_x,mp_lm09_y,mp_lm09_z,mp_lm10_x,mp_lm10_y,mp_lm10_z,mp_lm11_x,mp_lm11_y,mp_lm11_z,mp_lm12_x,mp_lm12_y,mp_lm12_z,mp_lm13_x,mp_lm13_y,mp_lm13_z,mp_lm14_x,mp_lm14_y,mp_lm14_z,mp_lm15_x,mp_lm15_y,mp_lm15_z,mp_lm16_x,mp_lm16_y,mp_lm16_z,mp_lm17_x,mp_lm17_y,mp_lm17_z,mp_lm18_x,mp_lm18_y,mp_lm18_z,mp_lm19_x,mp_lm19_y,mp_lm19_z,mp_lm20_x,mp_lm20_y,mp_lm20_z,led_cam,quality_flag
222707515000000,1,0.9717953205108643,Right,0.33654922246932983,0.7105333805084229,3.6910208223162044e-07,0.267433226108551,0.666854739189148,-0.018572503700852394,0.2219024896621704,0.5879440903663635,-0.033312711864709854,0.22172191739082336,0.4965481162071228,-0.04043818637728691,0.250705361366272,0.4495425522327423,-0.04642201215028763,0.27470603585243225,0.5964903235435486,-0.07284227758646011,0.2649148106575012,0.4724920988082886,-0.08750280737876892,0.2610860764980316,0.4073641300201416,-0.08533091843128204,0.2588305175304413,0.36274516582489014,-0.08293306827545166,0.32824215292930603,0.5871894359588623,-0.06987931579351425,0.3082970082759857,0.45405375957489014,-0.08705257624387741,0.2960631251335144,0.38233786821365356,-0.08742116391658783,0.2865316867828369,0.3358411192893982,-0.08771458268165588,0.3710651695728302,0.5800448060035706,-0.06369157880544662,0.35740283131599426,0.4567437171936035,-0.07910045236349106,0.34395885467529297,0.3886500597000122,-0.08380380272865295,0.32824966311454773,0.3496202826499939,-0.0869152694940567,0.4036782383918762,0.5790855884552002,-0.05700374022126198,0.40741902589797974,0.49910736083984375,-0.07201972603797913,0.39825862646102905,0.4703301191329956,-0.07589525729417801,0.38306885957717896,0.4650876522064209,-0.07736869901418686,109,0
222707562000000,1,0.975670337677002,Right,0.3365757465362549,0.7105449438095093,3.717065908404038e-07,0.26726117730140686,0.6669470071792603,-0.018784375861287117,0.22179032862186432,0.5881106853485107,-0.033779844641685486,0.22172090411186218,0.4962051510810852,-0.0409884937107563,0.25080016255378723,0.4493081569671631,-0.04708786681294441,0.27479517459869385,0.5971864461898804,-0.07395875453948975,0.26506567001342773,0.472412645816803,-0.08876309543848038,0.2614205479621887,0.40700763463974,-0.08667784184217453,0.25901976227760315,0.36226552724838257,-0.08431902527809143,0.3287454843521118,0.5880765318870544,-0.07085497677326202,0.30886203050613403,0.45400065183639526,-0.08802502602338791,0.2966291904449463,0.3820471167564392,-0.08838112652301788,0.2869287133216858,0.33575427532196045,-0.08875211328268051,0.37154215574264526,0.5808002352714539,-0.06445164233446121,0.3579191565513611,0.457182377576828,-0.07982847839593887,0.34466949105262756,0.3889652490615845,-0.08457619696855545,0.32939544320106506,0.3503151535987854,-0.08777549117803574,0.40361252427101135,0.5794210433959961,-0.05751702934503555,0.4067705273628235,0.4988231658935547,-0.07255202531814575,0.3985348343849182,0.46998703479766846,-0.07643742859363556,0.38459882140159607,0.464790016412735,-0.07793990522623062,109,0
222707593000000,1,0.9751145243644714,Right,0.33594614267349243,0.7099874019622803,3.67382767763047e-07,0.2667248845100403,0.6661810874938965,-0.018673300743103027,0.22193989157676697,0.5880355834960938,-0.03384413197636604,0.22227752208709717,0.4964506924152374,-0.04107081890106201,0.2511051297187805,0.44965869188308716,-0.0471864677965641,0.27494344115257263,0.5969966053962708,-0.07578498125076294,0.26526978611946106,0.47237151861190796,-0.09048862010240555,0.2614250183105469,0.40694481134414673,-0.08781194686889648,0.25860080122947693,0.36248767375946045,-0.08498867601156235,0.3287866711616516,0.5877243876457214,-0.07247153669595718,0.3089490830898285,0.4532923102378845,-0.08987933397293091,0.2968416213989258,0.3817131221294403,-0.0895766019821167,0.2871031165122986,0.3357316255569458,-0.08936721831560135,0.3714844286441803,0.5802231431007385,-0.06562989950180054,0.35840868949890137,0.4562326967716217,-0.08073599636554718,0.34523746371269226,0.388628214597702,-0.08436539024114609,0.32985037565231323,0.35052263736724854,-0.08677620440721512,0.40341877937316895,0.5792260766029358,-0.058255504816770554,0.4073134660720825,0.4989306628704071,-0.0726785808801651,0.3985830247402191,0.4703291058540344,-0.07575906813144684,0.38405486941337585,0.46551448106765747,-0.07668676972389221,108,0
222707593000000,1,0.9751145243644714,Right,0.33594614267349243,0.7099874019622803,3.67382767763047e-07,0.2667248845100403,0.6661810874938965,-0.018673300743103027,0.22193989157676697,0.5880355834960938,-0.03384413197636604,0.22227752208709717,0.4964506924152374,-0.04107081890106201,0.2511051297187805,0.44965869188308716,-0.0471864677965641,0.27494344115257263,0.5969966053962708,-0.07578498125076294,0.26526978611946106,0.47237151861190796,-0.09048862010240555,0.2614250183105469,0.40694481134414673,-0.08781194686889648,0.25860080122947693,0.36248767375946045,-0.08498867601156235,0.3287866711616516,0.5877243876457214,-0.07247153669595718,0.3089490830898285,0.4532923102378845,-0.08987933397293091,0.2968416213989258,0.3817131221294403,-0.0895766019821167,0.2871031165122986,0.3357316255569458,-0.08936721831560135,0.3714844286441803,0.5802231431007385,-0.06562989950180054,0.35840868949890137,0.4562326967716217,-0.08073599636554718,0.34523746371269226,0.388628214597702,-0.08436539024114609,0.32985037565231323,0.35052263736724854,-0.08677620440721512,0.40341877937316895,0.5792260766029358,-0.058255504816770554,0.4073134660720825,0.4989306628704071,-0.0726785808801651,0.3985830247402191,0.4703291058540344,-0.07575906813144684,0.38405486941337585,0.46551448106765747,-0.07668676972389221,107,0
222707656000000,1,0.974997341632843,Right,0.3369132876396179,0.7106980085372925,3.5747248716688773e-07,0.26773884892463684,0.6667056679725647,-0.018110128119587898,0.22280240058898926,0.5874512791633606,-0.032780636101961136,0.22312642633914948,0.49559786915779114,-0.0395742803812027,0.2509702444076538,0.4472673535346985,-0.04528065770864487,0.27511534094810486,0.5966930985450745,-0.07539346814155579,0.26522213220596313,0.47139638662338257,-0.08979733288288116,0.26166674494743347,0.40613073110580444,-0.08631783723831177,0.25906848907470703,0.36179277300834656,-0.08285818994045258,0.32949841022491455,0.5879810452461243,-0.07254716753959656,0.3086547255516052,0.45284709334373474,-0.09053073823451996,0.29688453674316406,0.3811247944831848,-0.0903683602809906,0.28715261816978455,0.335117906332016,-0.09002438187599182,0.3728058934211731,0.5809234380722046,-0.06614585220813751,0.3585674464702606,0.457060843706131,-0.08281441032886505,0.3453276455402374,0.38933464884757996,-0.08749141544103622,0.3297320604324341,0.35081231594085693,-0.09021396189928055,0.40515121817588806,0.5799764394760132,-0.05892696604132652,0.40632128715515137,0.49857354164123535,-0.07456619292497635,0.3978489935398102,0.472021222114563,-0.07786884903907776,0.38435328006744385,0.4689805507659912,-0.0787169337272644,107,0
222707718000000,1,0.9746549129486084,Right,0.3371105194091797,0.7110044956207275,3.5494591088536254e-07,0.267678439617157,0.6667575240135193,-0.01832123100757599,0.2224682867527008,0.5873423218727112,-0.0329076386988163,0.22308894991874695,0.4954425096511841,-0.03968929126858711,0.25119251012802124,0.44705942273139954,-0.04521938040852547,0.27511316537857056,0.5969008803367615,-0.07411259412765503,0.26561203598976135,0.47163110971450806,-0.08847873657941818,0.26180511713027954,0.4063611328601837,-0.085143081843853,0.25920212268829346,0.36189812421798706,-0.08171751350164413,0.3297553062438965,0.5882053971290588,-0.0711003988981247,0.3088146448135376,0.45303910970687866,-0.0892941877245903,0.2967430353164673,0.38121169805526733,-0.08918748050928116,0.2871132791042328,0.33482789993286133,-0.08869017660617828,0.37324950098991394,0.5806586146354675,-0.06465386599302292,0.3587069809436798,0.45708802342414856,-0.08145535737276077,0.3449214696884155,0.3896295428276062,-0.08573084324598312,0.32934144139289856,0.351296603679657,-0.08787135779857635,0.4059086740016937,0.579011857509613,-0.05747746676206589,0.4060097634792328,0.49649590253829956,-0.07254018634557724,0.396509051322937,0.47056230902671814,-0.07505063712596893,0.38267865777015686,0.4689168930053711,-0.07522127032279968,174,0
222707765000000,1,0.9749419093132019,Right,0.33680295944213867,0.7118020057678223,3.5578733559304965e-07,0.26752761006355286,0.6672928929328918,-0.018146513029932976,0.22261658310890198,0.5877842307090759,-0.03277013823390007,0.22331005334854126,0.49591800570487976,-0.03959769755601883,0.25107890367507935,0.4474453330039978,-0.045223161578178406,0.27556830644607544,0.5966434478759766,-0.07435522973537445,0.2658528685569763,0.4714650511741638,-0.08877391368150711,0.2619023621082306,0.40639054775238037,-0.08558450639247894,0.25895076990127563,0.3621196746826172,-0.08230169862508774,0.33005690574645996,0.5879091620445251,-0.07131000608205795,0.30933448672294617,0.45277684926986694,-0.08905475586652756,0.2972677946090698,0.38104313611984253,-0.08884238451719284,0.28751233220100403,0.3348802924156189,-0.08844783902168274,0.3731764256954193,0.5807272791862488,-0.06481071561574936,0.35923853516578674,0.4570310115814209,-0.0808984711766243,0.34560996294021606,0.3895965814590454,-0.08514899015426636,0.3297964930534363,0.3513708710670471,-0.08756152540445328,0.405362069606781,0.5795208811759949,-0.05760633572936058,0.4070958197116852,0.4983976185321808,-0.07255546003580093,0.3976547122001648,0.46959370374679565,-0.07577239722013474,0.3829956650733948,0.4643779993057251,-0.07657252997159958,174,0
222707812000000,1,0.9759433269500732,Right,0.3367622494697571,0.7121701240539551,3.35027948494826e-07,0.2674131989479065,0.6680323481559753,-0.0183344054967165,0.2223304808139801,0.5875942707061768,-0.03290938213467598,0.22288823127746582,0.4958120584487915,-0.039655063301324844,0.25062331557273865,0.44716978073120117,-0.045109447091817856,0.2759155333042145,0.5973647236824036,-0.07464298605918884,0.2656898498535156,0.470824271440506,-0.08878173679113388,0.2616721987724304,0.4061724543571472,-0.08501648157835007,0.25901564955711365,0.36212924122810364,-0.0812593549489975,0.3303082585334778,0.5887182950973511,-0.07140044867992401,0.3091176748275757,0.45275169610977173,-0.08888635039329529,0.2964286804199219,0.3819115161895752,-0.08784789592027664,0.28658995032310486,0.33670687675476074,-0.0868418738245964,0.3733627498149872,0.5813022255897522,-0.06481326371431351,0.35884085297584534,0.4567197859287262,-0.08066704869270325,0.34467002749443054,0.3894554376602173,-0.0843973234295845,0.32896265387535095,0.3513018488883972,-0.08642680197954178,0.40581071376800537,0.579810619354248,-0.057569265365600586,0.4066084027290344,0.49691474437713623,-0.07221094518899918,0.3963645100593567,0.4684651494026184,-0.0750202015042305,0.3813902735710144,0.4642889201641083,-0.07556076347827911,174,0
222707859000000,1,0.9760812520980835,Right,0.3365292549133301,0.7122941613197327,3.325570219203655e-07,0.266983300447464,0.667910635471344,-0.018501892685890198,0.2217525988817215,0.5875387787818909,-0.033218808472156525,0.2225896716117859,0.4954953193664551,-0.04005204141139984,0.2504803240299225,0.4468909800052643,-0.045575518161058426,0.2759825885295868,0.5973333716392517,-0.0750182494521141,0.2657068371772766,0.47080937027931213,-0.08909932523965836,0.2617185413837433,0.4060728847980499,-0.08529511094093323,0.25896430015563965,0.36193352937698364,-0.08156830072402954,0.3303402066230774,0.588624119758606,-0.07166940718889236,0.309184730052948,0.4526382386684418,-0.08894018828868866,0.2965715825557709,0.38184645771980286,-0.08776391297578812,0.28681105375289917,0.3367573618888855,-0.08679560571908951,0.373235285282135,0.5810180902481079,-0.06497037410736084,0.3590136766433716,0.45640790462493896,-0.08058349788188934,0.3449496626853943,0.3892669677734375,-0.08414840698242188,0.329363614320755,0.3513886332511902,-0.08620166778564453,0.4055061638355255,0.579358696937561,-0.05766045302152634,0.40661126375198364,0.49655580520629883,-0.07233372330665588,0.3964545726776123,0.4680897295475006,-0.07523979246616364,0.3815383315086365,0.46384677290916443,-0.07590688765048981,174,0
222707937000000,1,0.9760600328445435,Right,0.3354026973247528,0.7123103141784668,3.3094684681600484e-07,0.2660540044307709,0.6671901941299438,-0.018246212974190712,0.22121562063694,0.5868940353393555,-0.032899755984544754,0.22242912650108337,0.4953620433807373,-0.039737485349178314,0.2504720687866211,0.4474426209926605,-0.045328229665756226,0.2755752205848694,0.5971575379371643,-0.07493720948696136,0.26558175683021545,0.4711230397224426,-0.08901656419038773,0.2614404261112213,0.4062706232070923,-0.08526407182216644,0.2585429549217224,0.3620825409889221,-0.08158471435308456,0.3299393057823181,0.5885940790176392,-0.0717121809720993,0.30904728174209595,0.4527547359466553,-0.0889664962887764,0.29659610986709595,0.3818800449371338,-0.08775081485509872,0.28699642419815063,0.3367784917354584,-0.08676133304834366,0.37283486127853394,0.5810803771018982,-0.06509493291378021,0.35900187492370605,0.45642486214637756,-0.080619215965271,0.34516000747680664,0.3893420100212097,-0.08399258553981781,0.32970473170280457,0.351582407951355,-0.08590980619192123,0.4050433337688446,0.5796303749084473,-0.05786047503352165,0.4065726101398468,0.49641305208206177,-0.07236810773611069,0.39664894342422485,0.4678351879119873,-0.07508359849452972,0.3817978799343109,0.4635927081108093,-0.07563064992427826,108,0
